"id","question","kind","possible_answers"
"M1_Q1","I keep shared promises even when inconvenient.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q2","I stick to plans and schedules I make.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q3","People describe me as reliable and on time.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q4","I can ignore minor annoyances to keep harmony.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q5","I speak up if something repeatedly bothers me.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q6","How do you prefer your home to feel?","bipolar","1-5 (1=Home as social hub, 5=Home as quiet retreat)"
"M1_Q7","How do you prefer to give and receive feedback?","bipolar","1-5 (1=Direct/concise feedback, 5=Cushioned/indirect feedback)"
"M1_Q8","I’m comfortable giving constructive feedback to housemates promptly.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q9","I usually apologize first to resolve tension.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q10","How should shared costs and responsibilities be divided?","bipolar","1-5 (1=Strict equality (exact splits), 5=Fairness (needs-based))"
"M1_Q11","I’m flexible about different ways of doing things at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q12","I prefer having written house rules that everyone can see (e.g., a chore chart).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q13","I’m energized by social activity at home after a long day.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q14","Tidy surroundings help me de-stress.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q15","I get anxious if plans change last-minute.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q16","I’d rather talk issues out than let them fade.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q17","I keep track of shared tasks without being asked.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q18","I’m comfortable setting personal boundaries with friends at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q19","I’m curious about others’ routines/traditions and can adapt at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q20","How should house rules be applied?","bipolar","1-5 (1=Clear rules even if strict, 5=Flexible case-by-case)"
"M1_Q21","I can tolerate some mess without it bothering me.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q22","I’m okay borrowing/lending small items with explicit permission.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q23","When resolving conflicts, what's more important to you?","bipolar","1-5 (1=Quick compromise, 5=Thorough discussion before deciding)"
"M1_Q24","I’m comfortable living with diverse habits when house rules are clear.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M1_Q25","I can adapt my way of doing chores to match a shared standard.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q1","Are you more of a night owl or morning person?","bipolar","1-5 (1=Night-owl, 5=Morning-lark)"
"M2_Q2","What are your typical sleep hours on weeknights? (Select start and end time)","timeRange","Time range (start/end in 24h, e.g., 22:00-07:00)"
"M2_Q3","Weekend sleep window (typical): start and end (24h).","timeRange","Time range (start/end in 24h, e.g., 22:00-07:00)"
"M2_Q4","I can adapt quickly when my sleep schedule changes.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q5","I need consistent quiet to feel well-rested.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q6","I wake up easily if there's light in the room.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q7","I wake up easily if there's noise in the hallway.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q8","What's your preference for bedroom lighting at night?","bipolar","1-5 (1=Ambient bedroom light, 5=Blackout darkness)"
"M2_Q9","I use screens in bed within 30 minutes of sleep.","likert","1-5 (1=Never, 5=Always)"
"M2_Q10","I nap most days.","likert","1-5 (1=Never, 5=Always)"
"M2_Q11","I'm okay with quiet water or cooking sounds after 10:30 PM if they're kept low.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q12","I’m comfortable with quiet living-room conversations after my bedtime if doors are closed.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q13","Preferred quiet-hours start (weekdays)","mcq","20:00 | 21:00 | 22:00 | 23:00 | 00:00"
"M2_Q14","Preferred quiet-hours end (weekdays)","mcq","06:00 | 07:00 | 08:00 | 09:00"
"M2_Q15","Preferred quiet-hours end (weekends)","mcq","08:00 | 09:00 | 10:00 | 11:00"
"M2_Q16","I’m okay with a fan or white-noise running at night.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q17","I often feel unrested in the morning.","likert","1-5 (1=Never, 5=Always)"
"M2_Q18","I’m okay with early appliances (coffee grinder/blender) before 08:00 on weekdays.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q19","I’m okay with housemates awake in common areas after my bedtime if they keep it low.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q20","No loud calls/gaming in common areas after quiet hours.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q21","I rarely wake during the night due to household sounds.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q22","I’m okay with late study sessions in common areas before quiet hours.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M2_Q23","I prefer no showers after quiet hours begin.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q24","I’m flexible moving my quiet hours slightly if neighbors/housemates need it.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M2_Q25","If a housemate’s schedule is opposite mine, I can plan around it.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q1","I’m more sensitive to sudden than steady noises.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q2","Ongoing background noise (TV, music) distracts me.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q3","I usually use headphones for media in shared spaces.","likert","1-5 (1=Never, 5=Always)"
"M3_Q4","What volume do you prefer when listening to music or media?","bipolar","1-5 (1=Low listening volume, 5=High listening volume)"
"M3_Q5","I’m comfortable when living-room conversations are faintly audible in my room.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q6","Doors should be closed gently at all times.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q7","Daytime maintenance noise (vacuum/drill) is acceptable.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q8","Do you prefer windows open or closed?","bipolar","1-5 (1=Windows open for fresh air, 5=Windows closed to avoid noise/pollen)"
"M3_Q9","I’m sensitive to strong fragrances (sprays/incense).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q10","Prefer fragrance-free laundry/cleaners at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q11","I’m okay with air-fresheners in common spaces.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q12","Preferred room temperature range (°C)","mcq","18–19 | 20–21 | 22–23 | 24+"
"M3_Q13","I overheat easily indoors.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q14","I feel cold easily indoors.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q15","I like using a fan for airflow in common areas.","likert","1-5 (1=Never, 5=Always)"
"M3_Q16","What humidity level do you prefer?","bipolar","1-5 (1=Prefer drier feel, 5=Prefer more humid feel)"
"M3_Q17","I accept cross-ventilation even if a bit noisy.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q18","How do you prefer lighting in shared spaces?","bipolar","1-5 (1=Soft/lamps lighting, 5=Bright overhead lighting)"
"M3_Q19","I’m comfortable with short music practice in daytime.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q20","I’m comfortable with gaming voice chat in living room before quiet hours.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q21","No external speakers in bedrooms.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q22","I prefer door-closers or felt pads to reduce slams.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M3_Q23","I tolerate street noise if windows are open.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q24","I’m comfortable with vacuuming up to 20:00.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M3_Q25","I prefer quiet-hours reminders posted in the hallway.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q1","Cleanliness standard — Kitchen","mcq","Low | Medium | High"
"M4_Q2","Cleanliness standard — Bathroom","mcq","Low | Medium | High"
"M4_Q3","Cleanliness standard — Living area","mcq","Low | Medium | High"
"M4_Q4","How soon do you typically wash dishes after using them?","mcq","Same day | Within 24h | Within 48h or more"
"M4_Q5","No dishes left overnight.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q6","I wipe stove/counters immediately after cooking.","likert","1-5 (1=Never, 5=Always)"
"M4_Q7","Kitchen storage & staples policy.","bipolar","1-5 (1=Labeled shelves & clear 'mine/yours', 5=Mostly shared staples & open shelves)"
"M4_Q8","Comfortable sharing basic condiments if replaced when empty.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q9","Prefer separate cookware (reasons not requested).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q10","Comfortable with strong cooking smells if ventilated.","likert","1-5 (1=Very uncomfortable, 5=Very comfortable)"
"M4_Q11","Do you prefer shoes on or off indoors?","bipolar","1-5 (1=Shoes-off indoors, 5=Shoes-on okay)"
"M4_Q12","How do you prefer to organize household chores?","bipolar","1-5 (1=Scheduled chores (rota/system), 5=Flexible chores (as needed with reminders))"
"M4_Q13","If I miss my chore, I do it within 24h without prompts.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q14","Okay with a monthly deep-clean day.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q15","Chip in for shared cleaning supplies.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q16","Take out trash when full even if not my turn.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q17","Okay with a photo standard for 'clean enough'.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q18","Prefer separate bathroom storage per person.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q19","Guests can use our cookware if they clean it immediately.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q20","Laundry hours stance.","bipolar","1-5 (1=Laundry after 22:00 is okay if quiet, 5=Prefer no laundry after 22:00)"
"M4_Q21","If someone repeatedly misses their chores, there should be agreed-upon consequences.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q22","Okay with eco-cleaning (vinegar/baking soda) if effective.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q23","Prefer dishwasher loading rules posted.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M4_Q24","Bathroom etiquette preference.","bipolar","1-5 (1=Quiet mornings in bathroom, 5=First-come-first-serve and chatty)"
"M4_Q25","Okay with rotating 'kitchen closer' (last to wipe/sweep nightly).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q1","I want a socially active home (weekly hangs/meals).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q2","I prefer a quiet home (rare group hangs).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q3","How many daytime guests do you expect to have per week?","mcq","0–2 | 3–5 | 6–10 | 10+"
"M5_Q4","How many overnight guests do you expect to have per month?","mcq","0 | 1–2 | 3–4 | 5+"
"M5_Q5","Prefer no overnight guests on weeknights.","toggle","Yes/No"
"M5_Q6","Minimum notice before inviting guests","mcq","None | Same day | 1 day | 2+ days"
"M5_Q7","Max group size I’m comfortable with at home","mcq","2–3 | 4–6 | 7–10 | 11+"
"M5_Q8","Latest gathering end (weeknights)","mcq","21:00 | 22:00 | 23:00 | 00:00 | 01:00+"
"M5_Q9","Latest gathering end (weekends)","mcq","22:00 | 23:00 | 00:00 | 01:00+"
"M5_Q10","I’m comfortable co-hosting dinners/events with housemates.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q11","Post-event cleanup should happen before bedtime.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q12","Common language in shared areas","mcq","English | Dutch | Either"
"M5_Q13","I’m willing to switch to the common language when someone joins.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q14","I’m comfortable hosting friends who don’t speak the common language.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q15","I’d like to practice Dutch at home (opt-in).","toggle","Yes/No"
"M5_Q16","Okay with gaming/movie nights before quiet hours.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q17","Smoking and vaping should only happen outside and away from windows.","toggle","Yes/No"
"M5_Q18","Alcohol in common areas is okay in moderation.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q19","Prefer alcohol limited to private rooms.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q20","Prefer to meet regular visitors/partners beforehand.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q21","Okay with relatives from abroad staying multiple nights (with notice).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q22","During gatherings, I’m comfortable keeping to the common language for inclusion.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q23","After gatherings, quiet hours apply immediately.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q24","I prefer a shared calendar for events/visits.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M5_Q25","I’m comfortable coordinating guest sleeping arrangements (sofa/airbed).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q1","If a house rule is broken once, I message the group kindly the same day.","likert","1-5 (1=Never, 5=Always)"
"M6_Q2","I’d rather address issues 1-to-1 before the group chat.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q3","I prefer having a brief weekly house check-in (about 15 minutes).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q4","I’d rather raise recurring issues within 24–48h than wait weeks.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q5","If I caused a problem, I appreciate immediate feedback.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q6","If tension rises, I suggest a short break then resume calmly.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q7","Escalation stance.","bipolar","1-5 (1=Prefer solve internally, 5=Loop in landlord/RA earlier)"
"M6_Q8","Sarcasm/banter tolerance.","bipolar","1-5 (1=Sarcasm/banter comfortable, 5=Prefer minimal sarcasm/banter)"
"M6_Q9","How do you prefer to phrase requests to housemates?","bipolar","1-5 (1=Prefer polite phrasing ('Could you…?'), 5=Direct imperatives are okay)"
"M6_Q10","Comfortable giving feedback across age/year differences.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q11","I’m okay using a shared board/app for chores/issues.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q12","Comfortable saying no to last-minute plans at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q13","I bring solutions, not just complaints.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q14","I’m comfortable calling a quick meeting if rules slip.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q15","Door etiquette for getting attention.","bipolar","1-5 (1=Text before knock, 5=Knock before text)"
"M6_Q16","Response time in house chat","mcq","Within 1h | Within 3h | Same day | Next day"
"M6_Q17","I avoid non-urgent issues during exam weeks.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q18","I’m open to mediation if we get stuck.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q19","Feedback channel for sensitive topics.","bipolar","1-5 (1=Discuss sensitive topics in-person, 5=Text first for sensitive topics)"
"M6_Q20","I'm comfortable taking turns being the 'feedback lead' to help facilitate discussions.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q21","I’m okay with an anonymous suggestion form for house issues.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q22","When resolving conflicts, what matters more to you?","bipolar","1-5 (1=Quick compromise, 5=Principled resolution even if longer)"
"M6_Q23","I’m fine with agenda + notes for house meetings.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q24","I prefer having guidelines for chat communication (e.g., no ALL CAPS, no messages after midnight).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M6_Q25","I’m comfortable owning mistakes in the chat publicly.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q1","Do you prefer bedroom doors open or closed?","bipolar","1-5 (1=Open-door when free, 5=Closed-door unless invited)"
"M7_Q2","I need daily alone time at home to recharge.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q3","I’m happy to study/work in common areas together.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q4","Common areas for socializing, bedrooms for privacy.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q5","Quiet reading in living room while others chat softly is okay.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q6","Borrowing policy.","bipolar","1-5 (1=Borrowing okay if asked, 5=No borrowing)"
"M7_Q7","I want my own fridge/pantry shelf clearly marked.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q8","Comfortable pooling spices/condiments in a shared bin.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q9","Tool sharing (vacuum/mop/toolkit) is okay.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q10","Prefer labeling personal cleaning supplies.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q11","Comfortable being in casual photos/videos at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q12","Prefer no photos/videos of me at home.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q13","Quiet calls in living room during day are okay.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q14","Prefer calls kept to bedrooms unless group activity.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q15","Study partners can use common areas before quiet hours.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q16","Prefer to ask before hosting study partners.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q17","Prefer decor in common areas discussed first.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q18","Neutral seasonal decor without discussion is okay.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q19","Comfortable with shared parcel handling (sign/collect).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q20","I prefer not to handle other people's packages unless they ask me to.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q21","Okay with lockbox spare key for emergencies.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q22","Prefer no key sharing; use intercom instead.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q23","Knock-and-wait rule for bedroom doors.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q24","I prefer privacy shades in common rooms at night.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M7_Q25","I want clearly defined personal zones in the living room (shelves/desk).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q1","I pay my share on time every month.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q2","I’ll use a shared expenses app (e.g., Splitwise).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q3","I keep receipts for shared purchases when asked.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q4","I report maintenance issues promptly.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q5","I handle small fixes (e.g., lightbulb) without delay.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q6","I separate waste/recycling as required locally.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q7","I’m comfortable with energy-saving practices (lights off, shorter showers).","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q8","No smoking or vaping indoors under any circumstances.","toggle","Yes/No"
"M8_Q9","No smoking on balconies or near windows if housemates request it.","toggle","Yes/No"
"M8_Q10","I can commit to building/landlord rules.","toggle","Yes/No"
"M8_Q11","No subletting or paid guests (e.g., Airbnb) should be allowed without everyone's agreement.","toggle","Yes/No"
"M8_Q12","I have or will get liability insurance if required.","toggle","Yes/No"
"M8_Q13","I agree to share a basic emergency contact with housemates.","toggle","Yes/No"
"M8_Q14","What's your preference regarding pets in the home?","bipolar","1-5 (1=Prefer no pets, 5=Okay with some pets)"
"M8_Q15","I’m okay with cats.","toggle","Yes/No"
"M8_Q16","I’m okay with dogs.","toggle","Yes/No"
"M8_Q17","I’m okay with small caged animals.","toggle","Yes/No"
"M8_Q18","I need to register my address (BRP) at this location.","toggle","Yes/No"
"M8_Q19","The address must allow BRP (address registration).","toggle","Yes/No"
"M8_Q20","How flexible are you with the move-in date? (Enter number of days you can adjust by)","number","Number (days)"
"M8_Q21","I’ll provide documents for municipal registration when asked.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q22","I prefer contracts that specify quiet hours and guest rules.","likert","1-5 (1=Strongly disagree, 5=Strongly agree)"
"M8_Q23","Minimum stay commitment (months)","number","Number (months)"
"M8_Q24","I agree to a roommate agreement created from our answers.","toggle","Yes/No"
"M8_Q25","Preferred communication language for rental/house docs","mcq","English | Dutch"
